name;price;master_id;client_id
Темно-фиолетовый;25000;2434;5009
Зоя;7000;1059;860
Любовь;12000;2847;1407
Коралловый;19500;1227;4774
Декабрь;15000;513;5286
Январь;500;1360;4489
Декабрь;28500;1583;6119
Хаки;21250;704;2255
Василиса;3750;81;6392
Нинель;10000;2310;6755
Любовь;9500;2485;6688
Алевтина;27000;1419;594
Октябрь;20000;54;3088
Варвара;2500;22;3801
Маргарита;15000;2400;1420
Жанна;30000;11;3135
Вера;4500;1288;2501
Зеленый;19000;1587;2647
Бирюзовый;10000;1412;4630
Александра;10500;1094;5615
Фуксия;12000;1068;6003
Лидия;7500;2488;6854
Евпраксия;6000;230;7134
Ксения;7500;1210;6180
Сентябрь;30000;1770;6196
Анна;13500;1418;2389
Ярко-розовый;8250;1662;4445
Милица;18000;1774;6478
Елена;6000;288;7304
Жанна;7000;1520;4216
Август;13750;2175;301
Июнь;1250;2766;4789
Март;25500;2789;2163
Античный Белый;6000;2462;2019
Евдокия;4500;126;4010
Евдокия;9000;2820;5317
Светло-серый;22500;1269;2743
Темно-оранжевый;5250;1405;4290
Слоновая кость;9000;1003;6622
Июнь;7000;170;1386
Феврония;18750;1264;4888
Ираида;9000;779;7057
Раиса;28500;2839;359
Евпраксия;14250;1239;7881
Агата;4500;561;2011
Сентябрь;12000;1641;6588
Июнь;5000;297;6798
Июль;4500;161;6259
Июнь;17500;518;3975
Июнь;11250;2576;3472
Агафья;750;79;3604
Желтый;8750;2803;4160
Ноябрь;2000;307;1282
Темный хаки;8500;1982;7218
Желто-зеленый;16500;1957;4310
Хаки;10500;203;6200
Юлия;1000;1165;2147
Январь;25000;2998;1521
Прасковья;10500;1986;4036
Декабрь;8500;1133;5138
Оранжево-красный;27000;451;4419
Октябрина;13750;1909;6012
Виктория;28500;1078;4632
Коралловый;18750;2480;3037
Желто-зеленый;12000;432;5715
Александра;11250;1843;3124
Январь;15000;2072;5224
Март;15000;1715;4548
Акулина;3000;2147;195
Январь;15000;854;2154
Желтый;7500;881;4829
Коричневый;22500;1849;1719
Елена;4500;1506;6333
Светлана;7500;19;1104
Малиновый;22500;2019;5702
Майя;6000;67;6613
Фуксия;14250;392;6504
Алла;24000;171;5009
Наталья;24000;2351;7088
Ноябрь;14250;602;1476
Ноябрь;16000;2165;6668
Анжела;4500;1206;541
Алина;14250;1614;1639
Сентябрь;9500;176;3296
Сентябрь;20000;2524;1442
Темно-серый;7500;2456;6258
Оранжевый;5000;1780;7994
Прасковья;8750;2029;231
Ульяна;1000;2545;2822
Светло-синий;6000;1400;4273
Александра;1000;2279;3782
Светло-зеленый;9000;1249;6281
Июнь;11250;1850;2714
Алина;1500;767;6747
София;1500;1351;2749
Ноябрь;750;2409;7444
Июль;13750;1271;303
Август;5000;2901;3411
Индиго;20000;2340;2200
Елена;10000;271;7149
Светло-розовый;19000;687;5610
Синий;15000;101;413
Июнь;1000;2646;6452
Сливовый;3750;1543;113
Зоя;22500;1837;4607
Апрель;25500;53;1476
Июнь;19500;1444;690
Клавдия;23750;2370;27
Август;4500;1674;1992
Ия;8000;1588;2087
Людмила;6000;49;6969
Октябрина;19000;684;3566
Темно-бирюзовый;10500;2167;7188
Малиновый;16250;2042;2688
Акулина;10000;433;5900
Оранжево-красный;1000;2368;3013
Январь;11250;2546;2488
Малиновый;2000;1643;688
Июль;20000;75;3197
Ксения;1250;1226;1346
Красный;5000;2201;1636
Октябрь;8250;529;585
Ярко-розовый;8250;2978;6733
Аквамарин;18000;1596;5831
Август;12000;1643;6487
Серый;22500;2300;6122
Февраль;23750;420;7624
Золотой;12000;1485;1411
Тусклый серый;10500;1822;3128
Лариса;10500;886;4387
Варвара;30000;2635;4625
Глафира;10000;1840;4551
Елена;3500;1316;5795
Розовато-лавандовый;6000;1506;5223
Оранжевый;18750;445;3607
Алла;15000;1411;482
Валентина;5000;1913;7024
Апрель;11250;7;4853
Июль;1250;575;6810
Цвет морской волны;11000;91;1373
Декабрь;6000;2250;6178
Июль;3000;2579;7625
Август;13000;1424;6490
Март;19500;2401;5127
Иванна;500;815;7911
Апрель;9000;1506;3110
Дарья;2250;1586;5574
Светло-зеленый;23750;2058;7262
Май;3000;1099;5983
Коричневый;22500;2006;6072
Декабрь;9750;1029;671
Анастасия;750;2055;2067
Серый;4500;2535;981
Розовато-лавандовый;13500;95;5780
Светлана;27000;1451;2519
Лукия;2500;929;7950
Аквамарин;14000;1066;5903
Светлана;1500;788;7944
Светло-зеленый;1000;1002;3241
Евпраксия;3000;944;1652
Темно-фиолетовый;13000;2032;5043
Март;2250;1804;1154
Античный Белый;9000;882;3515
Индиго;5500;1981;6247
Февраль;8750;1643;1856
Елизавета;12000;2187;6385
Оранжево-красный;12000;1004;7537
Ярко-розовый;4000;1456;826
Темно-оранжевый;9000;710;748
Ноябрь;6500;1665;228
Январь;6000;2068;3568
Май;15000;2627;6189
Ноябрь;11250;63;6977
Раиса;10500;865;3909
Милица;20000;277;6600
Бирюзовый;7000;2652;7870
Февраль;5000;330;6110
Ия;7500;1082;524
Серебряный;2500;920;129
Май;27000;1127;1076
Август;9750;2711;2255
Февраль;20000;1269;5163
Июнь;22500;2304;3364
Васильковый;6000;1674;5205
Лора;11000;1744;7232
Ангелина;15000;1166;3679
Ноябрь;6000;1026;5250
Оранжевый;3500;855;2872
Сентябрь;9000;2420;4284
Лазурный;4000;2375;346
Июль;19000;963;6757
Коричневый;16000;184;6428
Античный Белый;19500;1317;5946
Ульяна;11250;1946;4510
Олимпиада;25000;2376;2128
Февраль;2000;1417;5392
Июнь;21250;959;4025
Евпраксия;1500;459;1368
Юлия;6000;2906;5469
Ноябрь;13750;995;6763
Светло-синий;13000;2347;6977
Марфа;17000;2372;6733
Глафира;5500;1173;6792
Май;18000;76;1576
Желто-зеленый;6000;2045;4542
Марина;11250;932;4023
Июль;13500;700;4019
Апрель;12500;2978;1206
Слоновая кость;8000;444;3619
Май;12500;1553;3128
Июль;1000;1182;6947
Розовато-лавандовый;6250;1457;5728
Иванна;28500;1907;1325
Пелагея;1250;2614;2999
Бледно-зеленый;6000;1379;1532
Ноябрь;17500;1296;2396
Ольга;5250;1299;6943
Январь;5000;1936;1521
Темный хаки;17000;836;1006
Ульяна;5000;1981;5015
Бледно-зеленый;30000;2637;1826
Нинель;2000;2319;2367
Декабрь;7500;868;5328
Розовато-лавандовый;2000;2836;4136
Июль;7500;1712;2717
Сине-фиолетовый;11000;63;6499
Май;12750;1521;6959
Елизавета;3500;1993;4746
Лазурный;15000;1593;635
Пурпурный;5000;2332;91
Март;13500;975;155
Глафира;1000;1932;3142
Темно-зеленый;13750;1929;6335
Декабрь;9000;2918;2875
Тусклый серый;10500;2158;5241
Июль;8250;739;6520
Июль;2500;1441;2913
Агата;28500;2814;6111
Валентина;5000;842;2118
Ноябрь;8000;1278;5639
Таисия;9000;95;3782
Слоновая кость;23750;589;3114
Елена;4500;1563;3378
Зинаида;5000;1976;4599
Ольга;7500;811;3229
Алина;6500;1493;3958
Агафья;7000;2629;6464
Август;17000;1918;6552
Нонна;28500;2324;2750
Январь;15000;528;6685
Май;1500;432;4739
Зеленый;6000;1458;4678
Антонина;18000;2477;2126
Январь;8750;863;7708
Елизавета;5000;1105;6737
Антонина;6500;2345;1944
Агафья;21250;2809;5868
Апрель;9000;2869;726
Глафира;14000;120;7462
Сентябрь;2250;2797;4551
Татьяна;22500;1685;408
Февраль;1000;1267;1602
Регина;5500;2631;4370
Декабрь;28500;2579;2217
Оранжевый;16500;2708;1072
Шоколадный;2000;192;3769
Лукия;5000;330;6208
Бледно-Бирюзовый;9000;2743;5793
Лидия;22500;1412;2543
Анжела;15000;2020;6076
Прасковья;9000;2066;5053
Темно-бирюзовый;5250;566;6836
София;3000;2318;3020
Ноябрь;6500;287;4598
Индиго;2250;541;5656
Варвара;23750;536;3795
Наина;3000;1502;2066
Темно-оранжевый;16500;1349;5819
Синий;7500;1641;3323
Темно-зеленый;10000;487;5510
Хаки;7000;1285;1044
Желтый;1000;502;1460
Декабрь;10000;268;1826
Июль;11250;2613;1458
Оксана;7500;595;2542
Ноябрь;12000;2176;2019
Апрель;2250;1446;4276
Лазурный;25500;642;1687
Сентябрь;2500;988;7200
Коралловый;10500;2125;771
Май;15000;403;5884
Темно-зеленый;1500;1936;3557
Ярко-розовый;6000;1232;3882
Анастасия;2500;1770;6371
Июнь;15000;2316;6393
Фёкла;4000;435;3968
Серый;1000;1606;2218
Желто-зеленый;3500;1782;6602
Анна;1000;2588;7012
Элеонора;2500;669;7315
Сливовый;18000;1555;2258
Слоновая кость;6250;2516;103
Майя;2000;66;4213
Март;9750;2611;4748
Тамара;18000;1499;7038
Темно-голубой;18000;2845;4124
Март;14250;1787;4235
Регина;19500;1378;3158
Светло-голубой;12500;1469;5914
Октябрь;4000;1457;3871
Сентябрь;3000;1594;2550
Бирюзовый;10000;1113;5353
Январь;4500;2635;4056
Тамара;2250;2436;3129
Март;20000;1688;4973
Таисия;9750;1896;2892
Тамара;5250;506;6313
Сине-фиолетовый;5000;2324;1534
Золотой;19000;2113;4725
Зеленый;7500;580;6829
Коричневый;7500;2026;4116
Кира;16500;438;3489
Цвет морской волны;16500;2262;1468
Каштановый;20000;109;7750
Июль;10000;981;4497
Светло-синий;6000;2857;6155
Розовый;12000;716;5072
Вера;5000;2523;4271
Январь;7500;1197;5570
Синклитикия;15000;1223;2078
Евгения;19500;2422;1030
Декабрь;5000;2567;7154
Белый;4500;82;6244
Январь;7500;420;818
Ноябрь;3750;1310;7917
Зеленый;7500;1804;5436
Ноябрь;3500;1279;4393
Серебряный;15000;2538;58
Май;1500;180;2479
Июнь;9750;329;3413
Темно-розовый;1000;2323;2755
Елизавета;16250;2384;7172
Цвет морской волны;9000;112;7898
Алина;13750;1639;1701
Август;20000;1792;2893
Июль;750;2110;3560
Серебряный;5000;1359;6368
Феврония;18000;872;2968
Олимпиада;14000;963;6896
Март;5000;2042;3587
Ноябрь;16250;2474;639
Александра;5250;364;6211
Февраль;10500;2789;2130
Февраль;2000;2156;7374
Прасковья;21000;1436;4985
Желто-зеленый;13000;2384;5471
Март;13500;824;2485
Дарья;4500;2245;134
Июнь;8000;740;1491
Октябрина;16500;768;1987
Май;3000;1409;5450
Декабрь;1500;779;2028
Цвет морской волны;3000;1711;6022
Маргарита;10000;2062;5117
Шоколадный;11000;2091;4267
Фуксия;7000;420;3376
Коралловый;1500;2726;3347
Бежевый;5000;1184;1367
Светло-желтый;9750;2688;5175
Лазурный;9000;1872;5583
Август;25500;533;6598
Пелагея;11000;2430;1951
Март;25500;2997;645
Лора;24000;939;60
Ираида;2500;1685;2038
Ярко-розовый;6000;1184;7404
Наталья;1000;50;902
Пурпурный;4000;204;5917
Декабрь;13750;2487;5892
Февраль;13500;706;3078
Декабрь;21000;2797;2201
Евфросиния;16500;824;2082
Март;2500;2695;4956
Сентябрь;6000;2207;7571
