address;opentime;endtime;phone
с. Минусинск, ул. Партизанская, д. 86, 950719;08:30:00;20:30:00;+7 291 003 3842
клх Чокурдах, ул. Клубная, д. 44, 318667;09:00:00;21:00:00;+7 756 441 0872
к. Белгород, ул. Высотная, д. 61, 131652;09:00:00;21:00:00;+7 918 731 79 50
г. Егорьевск, ул. Матросова, д. 93, 441256;08:00:00;20:00:00;8 (237) 914-80-50
клх Курск, ул. Выгонная, д. 10, 458946;08:30:00;20:30:00;8 886 952 47 51
к. Тикси, ул. Щорса, д. 43, 195091;08:00:00;20:00:00;+7 531 012 6849
г. Энгельс, ул. Ясная, д. 63, 332726;08:00:00;20:00:00;+7 (514) 838-1858
клх Астрахань, ул. Солнечная, д. 73, 857050;08:30:00;20:30:00;8 894 863 5206
с. Астрахань, ул. Интернациональная, д. 61, 348990;08:00:00;20:00:00;8 846 069 6494
д. Белорецк, ул. Октября, д. 30, 993786;08:30:00;20:30:00;+7 651 823 8220
клх Бологое, ул. Аэродромная, д. 92, 466603;08:00:00;20:00:00;8 (065) 385-37-65
д. Вуктыл, ул. Пограничная, д. 32, 357823;09:00:00;21:00:00;8 (943) 878-5070
г. Цимлянск, ул. Горького, д. 11, 649906;08:00:00;20:00:00;+7 (693) 360-48-36
с. Горячинск, ул. Стадионная, д. 40, 365662;08:30:00;20:30:00;+7 (467) 721-0411
г. Сусуман, ул. Гастелло, д. 62, 064767;08:00:00;20:00:00;8 (774) 136-09-81
к. Верхотурье, ул. 60 лет СССР, д. 81, 523509;08:30:00;20:30:00;+7 938 770 2317
ст. Егорьевск, ул. Блюхера, д. 07, 891299;08:00:00;20:00:00;85072245447
г. Ноглики, ул. Серова, д. 36, 299338;08:00:00;20:00:00;8 770 850 42 15
г. Новочеркасск, ул. Путейская, д. 74, 335246;09:00:00;21:00:00;8 704 005 55 03
п. Курчатов, ул. Большая, д. 02, 493197;08:30:00;20:30:00;80048837851
п. Белорецк, ул. Кубанская, д. 22, 606688;09:00:00;21:00:00;87697003620
ст. Поярково, ул. Таманская, д. 93, 497198;08:30:00;20:30:00;8 (422) 739-65-29
клх Магадан, ул. Привокзальная, д. 01, 708454;09:00:00;21:00:00;8 441 599 37 31
с. Териберка, ул. Лесхозная, д. 86, 284390;08:00:00;20:00:00;8 454 990 7536
с. Териберка, ул. Угольная, д. 67, 623368;08:00:00;20:00:00;+7 507 791 75 64
клх Елец, ул. Юбилейная, д. 72, 779605;08:30:00;20:30:00;+7 600 544 19 88
ст. Териберка, ул. Шахтерская, д. 57, 485241;09:00:00;21:00:00;+7 809 708 77 96
ст. Якша, ул. Красина, д. 88, 865204;09:00:00;21:00:00;+75225256258
с. Энгельс, ул. Парижской Коммуны, д. 90, 052112;09:00:00;21:00:00;82808812097
к. Бомнак, ул. Котовского, д. 24, 822167;08:00:00;20:00:00;+7 (283) 472-79-94
п. Кандалакша, ул. Энтузиастов, д. 94, 799153;09:00:00;21:00:00;+7 800 757 0833
п. Подольск, ул. Придорожная, д. 22, 257523;08:00:00;20:00:00;84515032637
г. Шереметьево, ул. Шевченко, д. 93, 104730;08:30:00;20:30:00;+7 987 248 34 44
клх Шаховская, ул. Казанская, д. 13, 552057;08:00:00;20:00:00;8 413 806 76 93
г. Мыс Шмидта, ул. Чайкиной, д. 88, 364320;08:30:00;20:30:00;+79027429732
с. Черняховск, ул. Студенческая, д. 72, 043476;08:00:00;20:00:00;+73705978828
с. Туруханск, ул. Песчаная, д. 27, 057156;09:00:00;21:00:00;8 (230) 973-1358
д. Махачкала, ул. Белинского, д. 23, 585868;08:00:00;20:00:00;+7 374 746 1865
д. Воткинск, ул. Парковая, д. 42, 721665;09:00:00;21:00:00;8 (818) 464-8637
клх Магас, ул. Победы, д. 29, 006991;09:00:00;21:00:00;8 496 901 90 76
клх Дубна, ул. Орловская, д. 21, 670247;08:30:00;20:30:00;82645742209
г. Серов, ул. Широкая, д. 83, 567597;09:00:00;21:00:00;8 (432) 795-54-99
клх Тула, ул. Воронежская, д. 98, 399635;08:30:00;20:30:00;+7 750 079 54 09
д. Далматово, ул. Клубная, д. 02, 114370;08:30:00;20:30:00;8 713 576 58 47
г. Екатеринбург, ул. Октябрьская, д. 40, 356017;09:00:00;21:00:00;+7 (836) 306-6845
п. Долинск, ул. Курганная, д. 54, 862093;08:00:00;20:00:00;8 (415) 238-91-21
п. Ярославль, ул. Достоевского, д. 80, 109900;08:00:00;20:00:00;+78826586976
с. Минусинск, ул. 8 Марта, д. 81, 313941;08:30:00;20:30:00;8 266 864 5151
с. Можга, ул. Пионерская, д. 23, 530978;09:00:00;21:00:00;8 669 164 7295
с. Чайковский, ул. Братская, д. 12, 051532;08:00:00;20:00:00;8 (942) 190-28-92
ст. Галич, ул. Дарвина, д. 00, 277287;09:00:00;21:00:00;+7 (117) 719-80-20
д. Саянск, ул. Фрунзе, д. 35, 836524;09:00:00;21:00:00;8 749 952 18 74
п. Черкесск, ул. Некрасова, д. 27, 965881;08:00:00;20:00:00;8 616 212 5345
